Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.06;99.07;0;13125;0;0.87;0;0;0;65.63;0;0;
knl07;_ALL;_ALL;0.06;99.07;0;13125;0;0.87;0;0;0;65.63;0;0;
knl07;192944;_ALL;0.06;99.07;0;13125;0;0.87;0;0;0;65.63;0;0;
knl07;192944;192944;0.06;99.07;0;13125;0;0.87;0;0;0;65.63;0;0;
