function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
7;sgemm;baseline;kernel.c:50-58;77.15;5.06;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;8.3;0.55;;;;;;"0,0,0,0,0,0,0,0,0,100";
6;sgemm;main;;6.17;0.41;;;;;;"100,0,0,0,0,0,0,0,0,0";
232;libc-2.31.so;random;;6.17;0.4;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;2.13;0.14;;;;;;"0,0,0,0,0,0,0,0,0,100";
0;sgemm;Unknown function;;0.08;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
