name;time_p;time_s;cpi_ratio;
/users/user4442/AOA_Etude_de_cas/maqao_2022-04-02_19-11-14/binaries/sgemm;82.13;4.82;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;17.87;1.05;;
