function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
7;sgemm;baseline;kernel.c:50-58;99.28;18.5;;;;;;"100,0,0,0,0,0,0,0,0,0";
8;sgemm;main;driver_mesure.c:15-93,stdlib.h:363-363;0.21;0.04;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.19;0.04;;;;;;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;0.19;0.04;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;0.08;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
0;sgemm;Unknown function;;0.05;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
