function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
7;sgemm;baseline;;99.37;112.98;;;;;;"100,0,0,0,0,0,0,0,0,0";
6;sgemm;main;;0.2;0.22;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.19;0.22;;;;;;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;0.12;0.14;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;0.08;0.09;;;;;;"0,0,0,0,0,0,0,0,0,100";
-1;kernel;unknown_kernel_region;;0.02;0.02;;;;;;"0,0,0,0,100,0,0,0,0,0";
0;sgemm;Unknown function;;0.01;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
