name;time_p;time_s;cpi_ratio;
/users/user4427/AOA_Etude_de_cas/demo/maqao_2022-04-01_09-21-11/binaries/sgemm;99.58;113.22;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.4;0.45;;
kernel;0.02;0.02;;
