Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.38;2.2259;7.1701;2.2259;
2;1.4324;2.4122;15.3994;2.4958;
3;1.4328;2.4159;15.625;2.4983;
