block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
46;sgemm;kernel.c:54-55;95.16;13.75;13.75;13.75;13.75;0;1;
49;sgemm;kernel.c:54-55;2.97;0.43;0.43;0.43;0.43;0;1;
33;sgemm;kernel.c:54-54;0.31;0.04;0.04;0.04;0.04;0;1;
47;sgemm;kernel.c:54-54;0.28;0.04;0.04;0.04;0.04;0;1;
43;sgemm;kernel.c:54-54;0.1;0.01;0.01;0.01;0.01;0;1;
48;sgemm;kernel.c:54-54;0.1;0.01;0.01;0.01;0.01;0;1;
87;sgemm;driver_mesure.c:16-17;0.1;0.01;0.01;0.01;0.01;0;1;
38;sgemm;kernel.c:54-55;0.1;0.01;0.01;0.01;0.01;0;1;
45;sgemm;kernel.c:54-54;0.07;0.01;0.01;0.01;0.01;0;1;
35;sgemm;kernel.c:54-54;0.03;0;0;0;0;0;1;
36;sgemm;kernel.c:54-54;0.03;0;0;0;0;0;1;
37;sgemm;kernel.c:54-54;0.03;0;0;0;0;0;1;
34;sgemm;kernel.c:54-54;0.03;0;0;0;0;0;1;
