function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
7;sgemm;baseline;;99.23;95.52;95.52;95.52;95.52;0;1;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.26;0.26;0.26;0.26;0.26;0;1;"0,0,0,0,0,0,0,0,0,100";
1;sgemm;main;;0.22;0.22;0.22;0.22;0.22;0;1;"100,0,0,0,0,0,0,0,0,0";
232;libc-2.31.so;random;;0.17;0.16;0.17;0.17;0.17;0;1;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;0.06;0.05;0.05;0.05;0.05;0;1;"0,0,0,0,0,0,0,0,0,100";
-1;kernel;unknown_kernel_region;;0.04;0.04;0.04;0.04;0.04;0;1;"0,0,0,0,100,0,0,0,0,0";
0;sgemm;Unknown function;;0.02;0.02;0.01;0.01;0.01;0;1;"100,0,0,0,0,0,0,0,0,0";
