function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;sgemm;baseline;kernel.c:50-58;98.74;10.18;10.18;10.18;10.18;0;1;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.58;0.06;0.06;0.06;0.06;0;1;"0,0,0,0,0,0,0,0,0,100";
6;sgemm;init_matrice;;0.39;0.04;0.04;0.04;0.04;0;1;"100,0,0,0,0,0,0,0,0,0";
237;libc-2.31.so;rand;;0.15;0.01;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;0.15;0.01;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
