name;time_p;time_s;cpi_ratio;
/home/lucas/AOA/maqao_2022-04-02_16-50-46/binaries/sgemm;99.13;10.22;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.87;0.09;;
