block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
100;sgemm;kernel.c:54-55;87.86;6.87;6.87;6.87;6.87;0;1;
103;sgemm;kernel.c:54-55;5.94;0.46;0.46;0.46;0.46;0;1;
104;sgemm;kernel.c:54-55;2.11;0.16;0.16;0.16;0.16;0;1;
101;sgemm;kernel.c:54-54;1.6;0.12;0.12;0.12;0.12;0;1;
98;sgemm;kernel.c:50-54;1.21;0.09;0.09;0.09;0.09;0;1;
96;sgemm;kernel.c:54-54;0.83;0.06;0.06;0.06;0.06;0;1;
102;sgemm;kernel.c:53-53;0.19;0.01;0.01;0.01;0.01;0;1;
106;sgemm;kernel.c:58-58;0.13;0.01;0.01;0.01;0.01;0;1;
33;sgemm;;0.06;0;0;0;0;0;1;
