function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;sgemm;baseline;kernel.c:50-58;99.87;7.81;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
6;sgemm;init_matrice;;0.06;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
