loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
10;sgemm;baseline;10;kernel.c:54-55;Innermost;96.85;10.16;10.16;10.16;10.16;0;1;
9;sgemm;baseline;10;kernel.c:50-55;Outermost;1.76;0.18;0.19;0.19;0.19;0;1;
0;sgemm;init_matrice;6;;Innermost;0.71;0.08;0.07;0.07;0.07;0;1;
