function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;sgemm;baseline;kernel.c:50-58;98.62;10.35;;;;;;"100,0,0,0,0,0,0,0,0,0";
6;sgemm;init_matrice;;0.71;0.08;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.24;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;0.24;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;0.14;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
-1;kernel;unknown_kernel_region;;0.05;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
