loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
10;sgemm;baseline;10;kernel.c:54-55;Innermost;82.79;6.13;;;;;;
9;sgemm;baseline;10;kernel.c:50-55;Outermost;16.73;1.24;;;;;;
5;sgemm;main;9;;Innermost;0.07;0;;;;;;
0;sgemm;init_matrice;6;;Innermost;0.07;0;;;;;;
