Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0741;1.6076;3.3803;1.934;
2;1.0741;2.0537;7.1947;1.9355;
3;1.0741;2.0561;7.2288;1.9355;
4;1.0741;2.0561;7.2623;1.9355;
