name;time_p;time_s;cpi_ratio;
/home/lucas/AOA/maqao_2022-04-02_18-15-14/binaries/sgemm;99.72;21.74;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.28;0.06;;
