block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
41;sgemm;kernel.c:54-55;98.46;21.46;;;;;;
47;sgemm;kernel.c:54-55;0.73;0.16;;;;;;
85;sgemm;driver_mesure.c:16-17;0.21;0.04;;;;;;
34;sgemm;kernel.c:54-54;0.16;0.04;;;;;;
38;sgemm;kernel.c:54-54;0.05;0.01;;;;;;
42;sgemm;kernel.c:54-54;0.05;0.01;;;;;;
31;sgemm;kernel.c:54-54;0.02;0;;;;;;
36;sgemm;kernel.c:54-54;0.02;0;;;;;;
46;sgemm;kernel.c:54-54;0.02;0;;;;;;
