Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0057;1.0013;1.1039;3.7014;
2;1.0106;1.0023;1.1113;3.7733;
3;1.0112;1.0023;1.114;3.7912;
4;1.0112;1.0023;1.1165;3.7912;
5;1.0112;1.0023;1.1189;3.7912;
