name;time_p;time_s;cpi_ratio;
/users/user4427/AOA_Etude_de_cas/demo/maqao_2022-04-01_13-37-25/binaries/sgemm;99.87;7.81;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.06;0;;
kernel;0.06;0;;
