Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;99.93;0;2703;0;0.07;0;0;0;13.52;0;0;
knl07;_ALL;_ALL;0;99.93;0;2703;0;0.07;0;0;0;13.52;0;0;
knl07;213489;_ALL;0;99.93;0;2703;0;0.07;0;0;0;13.52;0;0;
knl07;213489;213489;0;99.93;0;2703;0;0.07;0;0;0;13.52;0;0;
