block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
91;sgemm;kernel.c:54-55;96.57;29.43;29.43;29.43;29.43;0;1;
94;sgemm;kernel.c:55-55;2.41;0.73;0.73;0.73;0.73;0;1;
89;sgemm;kernel.c:54-54;0.41;0.12;0.12;0.12;0.12;0;1;
93;sgemm;kernel.c:53-53;0.31;0.09;0.09;0.09;0.09;0;1;
88;sgemm;kernel.c:54-54;0.13;0.04;0.04;0.04;0.04;0;1;
92;sgemm;kernel.c:55-55;0.07;0.02;0.02;0.02;0.02;0;1;
90;sgemm;kernel.c:55-55;0.05;0.01;0.01;0.01;0.01;0;1;
85;sgemm;kernel.c:50-53;0.02;0;0;0;0;0;1;
95;sgemm;kernel.c:53-53;0.02;0;0;0;0;0;1;
