function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;sgemm;baseline;kernel.c:50-58;99.26;15.39;;;;;;"100,0,0,0,0,0,0,0,0,0";
6;sgemm;init_matrice;;0.23;0.03;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.16;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;0.16;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;0.13;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
16;sgemm;.plt.sec@start;;0.06;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
