loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
8;sgemm;baseline;10;kernel.c:54-55;Innermost;98.61;15.29;;;;;;
9;sgemm;baseline;10;kernel.c:50-55;Outermost;0.64;0.1;;;;;;
0;sgemm;init_matrice;6;;Innermost;0.19;0.03;;;;;;
1;sgemm;init_matrice;6;;Outermost;0.03;0;;;;;;
