Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0066;1.0005;1.1063;1.8425;
2;1.0129;1.0009;1.1097;1.8671;
3;1.0132;1.0009;1.112;1.8688;
4;1.0132;1.0009;1.1131;1.8688;
5;1.0132;1.0009;1.114;1.8688;
