function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
7;sgemm;baseline;;99.03;71.91;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.41;0.3;;;;;;"0,0,0,0,0,0,0,0,0,100";
1;sgemm;main;;0.23;0.17;;;;;;"100,0,0,0,0,0,0,0,0,0";
232;libc-2.31.so;random;;0.2;0.14;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;0.08;0.05;;;;;;"0,0,0,0,0,0,0,0,0,100";
0;sgemm;Unknown function;;0.02;0.02;;;;;;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.02;0.02;;;;;;"0,0,0,0,100,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.01;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
