Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0004;2.4868;2.7416;1.0004;
2;1.0004;3.3328;4.0547;1.0004;
3;1.0004;3.4473;4.2401;1.0004;
4;1.0004;3.4516;4.2533;1.0004;
