name;time_p;time_s;cpi_ratio;
/users/user4442/AOA_Etude_de_cas/maqao_2022-04-02_18-57-15/binaries/sgemm;81.87;4.68;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;18.04;1.03;;
kernel;0.09;0.01;;
