function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
7;sgemm;baseline;kernel.c:50-58;73.73;4.21;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;9.72;0.55;;;;;;"0,0,0,0,0,0,0,0,0,100";
6;sgemm;main;;7.97;0.45;;;;;;"100,0,0,0,0,0,0,0,0,0";
232;libc-2.31.so;random;;5.08;0.29;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;3.15;0.18;;;;;;"0,0,0,0,0,0,0,0,0,100";
0;sgemm;Unknown function;;0.18;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
229;libc-2.31.so;srand;;0.09;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
-1;kernel;unknown_kernel_region;;0.09;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
