Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.1749;1.9128;14.4014;2.4726;
2;1.1755;1.9173;14.7806;2.4795;
3;1.1758;1.9188;14.9883;2.4832;
4;1.1758;1.9188;15.0094;2.4836;
