Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0284;1.8288;1.9762;1.6291;
2;1.0284;1.8299;3.7811;1.6297;
3;1.0284;1.8299;3.7864;1.6297;
4;1.0284;1.8299;3.7917;1.6297;
