Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.1234;1.5425;3.5846;1.9088;
2;1.14;1.6486;4.5806;2.008;
3;1.1404;1.6502;4.6103;2.0116;
