function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
7;sgemm;baseline;kernel.c:50-58;74.49;4.41;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;10.14;0.6;;;;;;"0,0,0,0,0,0,0,0,0,100";
6;sgemm;main;;6.67;0.39;;;;;;"100,0,0,0,0,0,0,0,0,0";
232;libc-2.31.so;random;;5.66;0.34;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;2.45;0.14;;;;;;"0,0,0,0,0,0,0,0,0,100";
0;sgemm;Unknown function;;0.59;0.04;;;;;;"100,0,0,0,0,0,0,0,0,0";
