Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;81.76;0;1184;0;18.24;0;0;0;5.92;0;0;
knl07;_ALL;_ALL;0;81.76;0;1184;0;18.24;0;0;0;5.92;0;0;
knl07;221780;_ALL;0;81.76;0;1184;0;18.24;0;0;0;5.92;0;0;
knl07;221780;221780;0;81.76;0;1184;0;18.24;0;0;0;5.92;0;0;
