function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
7;sgemm;baseline;;99.21;94.47;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.28;0.27;;;;;;"0,0,0,0,0,0,0,0,0,100";
6;sgemm;main;;0.22;0.21;;;;;;"100,0,0,0,0,0,0,0,0,0";
232;libc-2.31.so;random;;0.16;0.16;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;0.08;0.08;;;;;;"0,0,0,0,0,0,0,0,0,100";
-1;kernel;unknown_kernel_region;;0.04;0.04;;;;;;"0,0,0,0,100,0,0,0,0,0";
