loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
8;sgemm;baseline;7;;Innermost;99.06;94.44;94.44;94.44;94.44;0;1;
7;sgemm;baseline;7;;Outermost;0.16;0.15;0.16;0.16;0.16;0;1;
5;sgemm;main;6;;Innermost;0.14;0.14;0.14;0.14;0.14;0;1;
3;sgemm;main;6;;Innermost;0.01;0;0;0;0;0;1;
