Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.06;99.38;0;19069.01;0;0.57;0;0;0;95.35;0;0;
knl07;_ALL;_ALL;0.06;99.38;0;19069.01;0;0.57;0;0;0;95.35;0;0;
knl07;194528;_ALL;0.06;99.38;0;19069.01;0;0.57;0;0;0;95.35;0;0;
knl07;194528;194528;0.06;99.38;0;19069.01;0;0.57;0;0;0;95.35;0;0;
