loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
10;sgemm;baseline;10;kernel.c:54-55;Innermost;87.86;6.87;;;;;;
9;sgemm;baseline;10;kernel.c:50-55;Outermost;11.88;0.93;;;;;;
0;sgemm;init_matrice;6;;Innermost;0.06;0;;;;;;
