Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.046;1.417;2.9353;1.5423;
2;1.0537;1.4342;3.1;1.5592;
3;1.0553;1.4387;3.1327;1.5628;
