name;time_p;time_s;cpi_ratio;
/users/user4427/AOA_Etude_de_cas/demo/maqao_2022-04-01_11-28-09/binaries/sgemm;99.78;6.66;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.22;0.01;;
