Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0004;7.985;14.1718;1.0011;
2;1.0004;8.0638;14.5388;1.0014;
3;1.0004;8.0638;14.6883;1.0016;
4;1.0004;8.0638;14.7493;1.0016;
