name;time_p;time_s;cpi_ratio;
/users/user4427/Project/nbody3D/maqao_2022-03-03_22-03-33/binaries/nbody.g;97.55;0.92;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;1.76;0.02;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.69;0.01;;
