Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.2827;1.7883;3.2132;1.7883;
2;1.3095;1.9692;4.2283;1.8965;
3;1.311;1.9736;4.2724;1.9022;
