function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;sgemm;baseline;;99.59;221.21;221.21;221.21;221.21;0;1;"100,0,0,0,0,0,0,0,0,0";
6;sgemm;init_matrice;;0.19;0.42;0.42;0.42;0.42;0;1;"100,0,0,0,0,0,0,0,0,0";
232;libc-2.31.so;random;;0.09;0.21;0.21;0.21;0.21;0;1;"0,0,0,0,0,0,0,0,0,100";
236;libc-2.31.so;random_r;;0.08;0.17;0.17;0.17;0.17;0;1;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;0.03;0.06;0.06;0.06;0.06;0;1;"0,0,0,0,0,0,0,0,0,100";
-1;kernel;unknown_kernel_region;;0.01;0.02;0.02;0.02;0.02;0;1;"0,0,0,0,100,0,0,0,0,0";
9;sgemm;main;;0;0.01;0.01;0.01;0.01;0;1;"100,0,0,0,0,0,0,0,0,0";
16;sgemm;.plt.sec@start;;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
