function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
8;sgemm;baseline;kernel.c:50-58;99.22;14.02;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.25;0.04;;;;;;"0,0,0,0,0,0,0,0,0,100";
9;sgemm;main;driver_mesure.c:15-93,stdlib.h:363-363;0.25;0.04;;;;;;"100,0,0,0,0,0,0,0,0,0";
232;libc-2.31.so;random;;0.18;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;0.07;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
0;sgemm;Unknown function;;0.04;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
