Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.26;82.12;0;1169;0;17.62;0;0;0;5.84;0;0;
knl07;_ALL;_ALL;0.26;82.12;0;1169;0;17.62;0;0;0;5.84;0;0;
knl07;218173;_ALL;0.26;82.12;0;1169;0;17.62;0;0;0;5.84;0;0;
knl07;218173;218173;0.26;82.12;0;1169;0;17.62;0;0;0;5.84;0;0;
