name;time_p;time_s;cpi_ratio;
/users/user4442/AOA_Etude_de_cas/maqao_2022-04-02_18-31-19/binaries/sgemm;82.29;4.81;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;17.62;1.03;;
kernel;0.09;0;;
