function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;sgemm;baseline;kernel.c:50-58;99.88;29.68;;;;;;"100,0,0,0,0,0,0,0,0,0";
9;sgemm;main;;0.03;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
6;sgemm;init_matrice;;0.03;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.02;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
237;libc-2.31.so;rand;;0.02;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;0.02;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
