function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;sgemm;baseline;kernel.c:50-58;67.24;3.88;3.88;3.88;3.88;0;1;"100,0,0,0,0,0,0,0,0,0";
6;sgemm;init_matrice;;14.3;0.82;0.82;0.82;0.82;0;1;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;9.71;0.56;0.56;0.56;0.56;0;1;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;5.29;0.3;0.3;0.3;0.3;0;1;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;2.43;0.14;0.14;0.14;0.14;0;1;"0,0,0,0,0,0,0,0,0,100";
0;sgemm;Unknown function;;0.61;0.03;0.03;0.03;0.03;0;1;"100,0,0,0,0,0,0,0,0,0";
16;sgemm;.plt.sec@start;;0.35;0.02;0.02;0.02;0.02;0;1;"0,0,0,0,100,0,0,0,0,0";
7;sgemm;init_array;;0.09;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
