Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0593;1.4421;2.3318;1.6439;
2;1.0593;1.731;3.3911;1.6453;
3;1.0593;1.7393;3.4281;1.6453;
4;1.0593;1.7415;3.4381;1.6453;
5;1.0593;1.7415;3.4478;1.6453;
