block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
100;sgemm;kernel.c:54-55;77.98;3.93;3.93;3.93;3.93;0;1;
103;sgemm;kernel.c:54-55;9.72;0.49;0.49;0.49;0.49;0;1;
104;sgemm;kernel.c:54-55;6.05;0.31;0.31;0.31;0.31;0;1;
101;sgemm;kernel.c:54-54;2.68;0.13;0.13;0.13;0.13;0;1;
98;sgemm;kernel.c:50-54;1.39;0.07;0.07;0.07;0.07;0;1;
102;sgemm;kernel.c:53-53;0.89;0.04;0.04;0.04;0.04;0;1;
96;sgemm;kernel.c:54-54;0.5;0.02;0.02;0.02;0.02;0;1;
95;sgemm;kernel.c:50-55;0.1;0;0.01;0.01;0.01;0;1;
31;sgemm;;0.1;0;0.01;0.01;0.01;0;1;
