function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;sgemm;baseline;kernel.c:50-58;68.9;4.21;;;;;;"100,0,0,0,0,0,0,0,0,0";
6;sgemm;init_matrice;;12.6;0.77;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;10.07;0.62;;;;;;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;6.06;0.37;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;2.05;0.12;;;;;;"0,0,0,0,0,0,0,0,0,100";
0;sgemm;Unknown function;;0.16;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
16;sgemm;.plt.sec@start;;0.08;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
9;sgemm;main;;0.08;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
