Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0002;1.0361;1.0635;1.2485;
2;1.0003;1.0363;1.1045;1.2491;
3;1.0003;1.0363;1.105;1.2496;
4;1.0003;1.0363;1.105;1.2496;
