block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
91;sgemm;kernel.c:54-55;94.61;21.07;21.07;21.07;21.07;0;1;
94;sgemm;kernel.c:55-55;3.59;0.8;0.8;0.8;0.8;0;1;
89;sgemm;kernel.c:54-54;0.74;0.16;0.16;0.16;0.16;0;1;
93;sgemm;kernel.c:53-53;0.52;0.11;0.11;0.11;0.11;0;1;
88;sgemm;kernel.c:54-54;0.2;0.04;0.04;0.04;0.04;0;1;
92;sgemm;kernel.c:55-55;0.11;0.02;0.02;0.02;0.02;0;1;
55;sgemm;;0.07;0.01;0.01;0.01;0.01;0;1;
95;sgemm;kernel.c:53-53;0.02;0;0;0;0;0;1;
