function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
7;sgemm;baseline;kernel.c:50-58;98.98;12.14;;;;;;"100,0,0,0,0,0,0,0,0,0";
232;libc-2.31.so;random;;0.37;0.05;;;;;;"0,0,0,0,0,0,0,0,0,100";
8;sgemm;main;driver_mesure.c:15-93,stdlib.h:363-363;0.37;0.05;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.16;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
0;sgemm;Unknown function;;0.12;0.02;;;;;;"100,0,0,0,0,0,0,0,0,0";
