function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;sgemm;baseline;kernel.c:50-58;98.9;10.81;10.81;10.81;10.81;0;1;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.46;0.05;0.05;0.05;0.05;0;1;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;0.37;0.04;0.04;0.04;0.04;0;1;"0,0,0,0,0,0,0,0,0,100";
6;sgemm;init_matrice;;0.23;0.02;0.02;0.02;0.02;0;1;"100,0,0,0,0,0,0,0,0,0";
16;sgemm;.plt.sec@start;;0.05;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
