function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;sgemm;baseline;kernel.c:50-58;69.67;4.36;4.36;4.36;4.36;0;1;"100,0,0,0,0,0,0,0,0,0";
6;sgemm;init_matrice;;13.01;0.81;0.81;0.81;0.81;0;1;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;8.62;0.54;0.54;0.54;0.54;0;1;"0,0,0,0,0,0,0,0,0,100";
232;libc-2.31.so;random;;6.23;0.39;0.39;0.39;0.39;0;1;"0,0,0,0,0,0,0,0,0,100";
237;libc-2.31.so;rand;;1.92;0.12;0.12;0.12;0.12;0;1;"0,0,0,0,0,0,0,0,0,100";
16;sgemm;.plt.sec@start;;0.32;0.02;0.02;0.02;0.02;0;1;"0,0,0,0,100,0,0,0,0,0";
0;sgemm;Unknown function;;0.16;0.01;0.01;0.01;0.01;0;1;"100,0,0,0,0,0,0,0,0,0";
308;libc-2.31.so;vprintf;;0.08;0.01;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
