Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.11;97.65;0;1876;1.6;0.64;0;0;0;0.94;0;0;
knl03;_ALL;_ALL;0.11;97.65;0;1876;1.6;0.64;0;0;0;0.94;0;0;
knl03;1156197;_ALL;0.11;97.65;0;1876;1.6;0.64;0;0;0;0.94;0;0;
knl03;1156197;1156458;0;96.81;0;188;2.66;0.53;0;0;0;0.94;0;0;
knl03;1156197;1156197;0;98.92;0;186;0;1.08;0;0;0;0.93;0;0;
knl03;1156197;1156461;0;97.86;0;187;1.6;0.53;0;0;0;0.93;0;0;
knl03;1156197;1156460;0.53;97.86;0;187;1.07;0.53;0;0;0;0.93;0;0;
knl03;1156197;1156455;0;97.87;0;188;1.06;1.06;0;0;0;0.94;0;0;
knl03;1156197;1156454;0;98.4;0;188;1.06;0.53;0;0;0;0.94;0;0;
knl03;1156197;1156462;0.53;97.86;0;187;1.6;0;0;0;0;0.93;0;0;
knl03;1156197;1156457;0;96.3;0;189;3.17;0.53;0;0;0;0.94;0;0;
knl03;1156197;1156456;0;97.87;0;188;1.06;1.06;0;0;0;0.94;0;0;
knl03;1156197;1156459;0;96.81;0;188;2.66;0.53;0;0;0;0.94;0;0;
