Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.01;99.99;0;19304;0;0;0;0;0;96.52;0;0;
knl03;_ALL;_ALL;0.01;99.99;0;19304;0;0;0;0;0;96.52;0;0;
knl03;1148598;_ALL;0.01;99.99;0;19304;0;0;0;0;0;96.52;0;0;
knl03;1148598;1148598;0.01;99.99;0;19304;0;0;0;0;0;96.52;0;0;
